option,description,class_name,file_path,granularity,メモ,LLM description,Description (copied from header or source code)
-irce,Inductive range check elimination,IRCEPass,Scalar/InductiveRangeCheckElimination.cpp,function,,高速化: あり。ループの反復範囲を分割し、中間区間では範囲チェックが不要と証明してチェックを消す（境界チェック削減）。段階: 中（ループ形が整った後、ループ最適化中盤で効きやすい）。,"The InductiveRangeCheckElimination pass splits a loop's iteration space into three disjoint ranges.  It does that in a way such that the loop running in the middle loop provably does not need range checks. As an example, it will convert   len = < known positive >   for (i = 0; i < n; i++) {     if (0 <= i && i < len) {       do_something();     } else {       throw_out_of_bounds();     }   } to   len = < known positive >   limit = smin(n, len)   // no first segment   for (i = 0; i < limit; i++) {     if (0 <= i && i < len) { // this check is fully redundant       do_something();     } else {       throw_out_of_bounds();     }   }   for (i = limit; i < n; i++) {     if (0 <= i && i < len) {       do_something();     } else {       throw_out_of_bounds();     }   }"
-jump-threading,Jump Threading,JumpThreadingPass,Scalar/JumpThreading.cpp,function,,高速化/サイズ縮小: あり。到達元の条件から分岐先が一意と証明できる場合に中間ブロックを複製して枝を“貫通”させ、分岐回数や到達不能経路を減らしてCFGを単純化する。段階: 中（条件情報が揃った後、SimplifyCFG等と組み合わせて中盤）。,"This pass performs 'jump threading', which looks at blocks that have multiple predecessors and multiple successors.  If one or more of the predecessors of the block can be proven to always jump to one of the successors, we forward the edge from the predecessor to the successor by duplicating the contents of this block. An example of when this can occur is code like this:   if () { ...     X = 4;   }   if (X < 3) { In this case, the unconditional branch at the end of the first if can be revectored to the false side of the second if."
-lcssa,Loop-Closed SSA Form Pass,LCSSAPass,Utils/LCSSA.cpp,function,FunctionToLoopPassAdaptorで呼ばれている,高速化/サイズ: 間接的（ループ最適化の前提）。“ループ内で定義されループ外で使う値”を出口PHI経由に正規化し、unswitch/unroll/LICMなどのループ変形を安全・簡単にする。段階: 前（ループ変形前の正規化として早め）。,"This pass transforms loops by placing phi nodes at the end of the loops for all values that are live across the loop boundary.  For example, it turns the left into the right code: for (...)                for (...)   if (c)                   if (c)     X1 = ...                 X1 = ...   else                     else     X2 = ...                 X2 = ...   X3 = phi(X1, X2)         X3 = phi(X1, X2) ... = X3 + 4             X4 = phi(X3)                          ... = X4 + 4 This is still valid LLVM; the extra phi nodes are purely redundant, and will be trivially eliminated by InstCombine.  The major benefit of this transformation is that it makes many other loop optimizations, such as LoopUnswitching, simpler."
-libcalls-shrinkwrap,Conditionally eliminate dead library calls,LibCallsShrinkWrapPass,Utils/LibCallsShrinkWrap.cpp,function,,高速化: あり。結果が使われないがerrno設定の可能性があるlibcall（例: sqrt）を、エラー条件が成立する場合だけ呼ぶように条件で包み、ホットパスから呼び出しを実質排除する。段階: 中（インライン後に“部分的に死んだlibcall”が現れやすいので中盤以降）。,"This pass shrink-wraps a call to function if the result is not used. The call can set errno but is otherwise side effect free. For example:    sqrt(val);  is transformed to    if (val < 0)      sqrt(val);  Even if the result of library call is not being used, the compiler cannot  safely delete the call because the function can set errno on error  conditions.  Note in many functions, the error condition solely depends on the incoming  parameter. In this optimization, we can generate the condition can lead to  the errno to shrink-wrap the call. Since the chances of hitting the error  condition is low, the runtime call is effectively eliminated.  These partially dead calls are usually results of C++ abstraction penalty  exposed by inlining."
-licm,Loop Invariant Code Motion,LICMPass,Scalar/LICM.cpp,loop,,高速化: あり。ループ不変計算をpreheaderへホイスト/出口へシンクして繰り返し計算を減らし、可能ならメモリもレジスタ促進してロード/ストアを削減する。段階: 中（loop-simplify/LCSSA等で形を整えた後のループ最適化中盤）。,"This pass performs loop invariant code motion, attempting to remove as much code from the body of a loop as possible.  It does this by either hoisting code into the preheader block, or by sinking code to the exit blocks if it is safe.  This pass also promotes must-aliased memory locations in the loop to live in registers, thus hoisting and sinking ""invariant"" loads and stores. This pass uses alias analysis for two purposes:  1. Moving loop invariant loads and calls out of loops.  If we can determine     that a load or call inside of a loop never aliases anything stored to,     we can hoist it or sink it like any other instruction.  2. Scalar Promotion of Memory - If there is a store instruction inside of     the loop, we try to move the store to happen AFTER the loop instead of     inside of the loop.  This can only happen if a few conditions are true:       A. The pointer stored through is loop invariant       B. There are no stores or loads in the loop which _may_ alias the          pointer.  There are no calls in the loop which mod/ref the pointer.     If these conditions are true, we can promote the loads and stores in the     loop of the pointer to use a temporary alloca'd variable.  We then use     the SSAUpdater to construct the appropriate SSA form for the value."
-load-store-vectorizer,Vectorize load and Store instructions,LoadStoreVectorizerPass,Vectorize/LoadStoreVectorizer.cpp,function,,高速化: あり（特にGPUで有効）/ サイズ: 状況依存。連続アドレスへの複数load/storeをベクトルload/storeにまとめ、メモリアクセスを合体（coalescing）して効率化する。段階: 後（他のベクトル化機会を使い切った後に回す想定）。,"This pass merges loads/stores to/from sequential memory addresses into vector loads/stores.  Although there's nothing GPU-specific in here, this pass is motivated by the microarchitectural quirks of nVidia and AMD GPUs. (For simplicity below we talk about loads only, but everything also applies to stores.) This pass is intended to be run late in the pipeline, after other vectorization opportunities have been exploited.  So the assumption here is that immediately following our new vector load we'll need to extract out the individual elements of the load, so we can operate on them individually. On CPUs this transformation is usually not beneficial, because extracting the elements of a vector register is expensive on most architectures.  It's usually better just to load each element individually into its own scalar register. However, nVidia and AMD GPUs don't have proper vector registers.  Instead, a ""vector load"" loads directly into a series of scalar registers.  In effect, extracting the elements of the vector is free.  It's therefore always beneficial to vectorize a sequence of loads on these architectures. Vectorizing (perhaps a better name might be ""coalescing"") loads can have large performance impacts on GPU kernels, and opportunities for vectorizing are common in GPU code.  This pass tries very hard to find such opportunities; its runtime is quadratic in the number of loads in a BB. Some CPU architectures, such as ARM, have instructions that load into multiple scalar registers, similar to a GPU vectorized load.  In theory ARM could use this pass (with some modifications), but currently it implements its own pass to do something similar to what we do here. Overview of the algorithm and terminology in this pass:  - Break up each basic block into pseudo-BBs, composed of instructions which    are guaranteed to transfer control to their successors.  - Within a single pseudo-BB, find all loads, and group them into    ""equivalence classes"" according to getUnderlyingObject() and loaded    element size.  Do the same for stores.  - For each equivalence class, greedily build ""chains"".  Each chain has a    leader instruction, and every other member of the chain has a known    constant offset from the first instr in the chain.  - Break up chains so that they contain only contiguous accesses of legal    size with no intervening may-alias instrs.  - Convert each chain to vector instructions. The O(n^2) behavior of this pass comes from initially building the chains. In the worst case we have to compare each new instruction to all of those that came before. To limit this, we only calculate the offset to the leaders of the N most recently-used chains."
-loop-data-prefetch,Loop Data Prefetch,LoopDataPrefetchPass,Scalar/LoopDataPrefetch.cpp,function,,高速化: あり（メモリ待ち削減）。ループのアクセスパターンから将来参照を予測してprefetchを挿入し、キャッシュミス待ちを隠す。段階: 後（ループ形やアクセスが安定した後、コード生成寄りの最終調整）。,This file implements a Loop Data Prefetching Pass.
-loop-deletion,Delete dead loops,LoopDeletionPass,Scalar/LoopDeletion.cpp,loop,,高速化/サイズ縮小: あり。副作用がなく戻り値計算にも寄与しないなど“意味のないループ”を削除する。段階: 後（他最適化でループが不要と判明した後のクリーンアップ）。,"This file implements the Dead Loop Deletion Pass. This pass is responsible for eliminating loops with non-infinite computable trip counts that have no side effects or volatile instructions, and do not contribute to the computation of the function's return value."
-loop-distribute,Loop Distribution,LoopDistributePass,Scalar/LoopDistribute.cpp,function,,高速化: あり。依存サイクルでベクトル化できないループを依存に沿って分割し、ベクトル化可能な部分を切り出す（必要ならversioningも併用）。段階: 中（ループアクセス解析が可能になった後、vectorize前後の中盤）。,"This file implements the Loop Distribution Pass.  Its main focus is to distribute loops that cannot be vectorized due to dependence cycles.  It tries to isolate the offending dependences into a new loop allowing vectorization of the remaining parts. For dependence analysis, the pass uses the LoopVectorizer's LoopAccessAnalysis.  Because this analysis presumes no change in the order of memory operations, special care is taken to preserve the lexical order of these operations. Similarly to the Vectorizer, the pass also supports loop versioning to run-time disambiguate potentially overlapping arrays."
-loop-fusion,Loop Fusion,LoopFusePass,Scalar/LoopFuse.cpp,function,,高速化: あり（局所性/ループオーバーヘッド）/ サイズ: 状況依存。隣接し同一反復回数・制御フロー等価で依存が安全なループを融合して局所性改善やオーバーヘッド削減を狙う。段階: 中（ループ構造が分かっ後、unroll/vectorize等の前後で検討）。,"This file implements the loop fusion pass. The implementation is largely based on the following document:       Code Transformations to Augment the Scope of Loop Fusion in a         Production Compiler       Christopher Mark Barton       MSc Thesis       https://webdocs.cs.ualberta.ca/~amaral/thesis/ChristopherBartonMSc.pdf The general approach taken is to collect sets of control flow equivalent loops and test whether they can be fused. The necessary conditions for fusion are:    1. The loops must be adjacent (there cannot be any statements between       the two loops).    2. The loops must be conforming (they must execute the same number of       iterations).    3. The loops must be control flow equivalent (if one loop executes, the       other is guaranteed to execute).    4. There cannot be any negative distance dependencies between the loops. If all of these conditions are satisfied, it is safe to fuse the loops. This implementation creates FusionCandidates that represent the loop and the necessary information needed by fusion. It then operates on the fusion candidates, first confirming that the candidate is eligible for fusion. The candidates are then collected into control flow equivalent sets, sorted in dominance order. Each set of control flow equivalent candidates is then traversed, attempting to fuse pairs of candidates in the set. If all requirements for fusion are met, the two candidates are fused, creating a new (fused) candidate which is then added back into the set to consider for additional fusion. This implementation currently does not make any modifications to remove conditions for fusion. Code transformations to make loops conform to each of the conditions for fusion are discussed in more detail in the document above. These can be added to the current implementation in the future."
-loop-guard-widening,"Widen guards (within a single loop, as a loop pass)",GuardWideningPass,Scalar/GuardWidening.cpp,loop,,高速化: あり（deopt/guard前提）。単一ループ内で複数のguardを統合・ホイストしてチェック回数を減らし、投機的最適化のランタイムチェックをまとめる。段階: 中（guardが生成された後、guardをlowerする前）。,"Guard widening is an optimization over the @llvm.experimental.guard intrinsic that (optimistically) combines multiple guards into one to have fewer checks at runtime. This file implements the guard widening pass.  The semantics of the @llvm.experimental.guard intrinsic lets LLVM transform it so that it fails more often that it did before the transform.  This optimization is called ""widening"" and can be used hoist and common runtime checks in situations like these:    %cmp0 = 7 u< Length    call @llvm.experimental.guard(i1 %cmp0) [ ""deopt""(...) ]    call @unknown_side_effects()    %cmp1 = 9 u< Length    call @llvm.experimental.guard(i1 %cmp1) [ ""deopt""(...) ]    ... =>    %cmp0 = 9 u< Length    call @llvm.experimental.guard(i1 %cmp0) [ ""deopt""(...) ]    call @unknown_side_effects()    ... If %cmp0 is false, @llvm.experimental.guard will ""deoptimize"" back to a generic implementation of the same function, which will have the correct semantics from that point onward.  It is always _legal_ to deoptimize (so replacing %cmp0 with false is ""correct""), though it may not always be profitable to do so. NB! This pass is a work in progress.  It hasn't been tuned to be ""production ready"" yet.  It is known to have quadriatic running time and will not scale to large numbers of guards"
-loop-idiom,Recognize loop idioms,LoopIdiomRecognizePass,Scalar/LoopIdiomRecognize.cpp,loop,,高速化: あり（場合により大）/ サイズ: 状況依存。初期化・コピー等の典型ループを認識して、memset/memcpy等の非ループ形（またはより最適な形）へ置換する。段階: 中（ループが正規化された後、後続の最適化・コード生成の前）。,"This pass implements an idiom recognizer that transforms simple loops into a non-loop form.  In cases that this kicks in, it can be a significant performance win. If compiling for code size we avoid idiom recognition if the resulting code could be larger than the code for the original loop. One way this could happen is if the loop is not removable after idiom recognition due to the presence of non-idiom instructions. The initial implementation of the heuristics applies to idioms in multi-block loops."
-loop-instsimplify,Simplify instructions in loops,LoopInstSimplifyPass,Scalar/LoopInstSimplify.cpp,loop,,高速化/サイズ縮小: あり。ループ本体内の軽量な命令簡約を行い、ループ変換（unroll/vectorize等）の前提を整えて無駄を減らす。段階: 中（ループ最適化パイプラインの途中、変換前の掃除）。,This pass performs lightweight instruction simplification on loop bodies.
-loop-interchange,Interchanges loops for cache reuse,LoopInterchangePass,Scalar/LoopInterchange.cpp,loop-nest,,高速化: あり（キャッシュ効率）。ネストループの順序を入れ替え、連続アクセスを増やしてキャッシュ局所性を改善する（依存が無いことが前提）。段階: 中（ループネスト解析後、vectorize等の前後で実施）。,This Pass handles loop interchange transform. This pass interchanges loops to provide a more cache-friendly memory access patterns.
-loop-load-elim,Loop Load Elimination,LoopLoadEliminationPass,Scalar/LoopLoadElimination.cpp,function,,高速化: あり。ループ反復間で同一メモリからのloadを、対応するstore値の伝播などで置換してloadを死にし、必要ならversioning+memcheckでalias不確実性を解消する。段階: 中（LoopAccessAnalysis等が使える段階、ループ最適化中盤）。,This header defines the LoopLoadEliminationPass object. This pass forwards loaded values around loop backedges to allow their use in subsequent iterations. It uses LoopAccessAnalysis to identify loop-carried dependences with a distance of one between stores and loads.  These form the candidates for the transformation.  The source value of each store then propagated to the user of the corresponding load.  This makes the load dead. The pass can also version the loop and add memchecks in order to prove that may-aliasing stores can't change the value in memory before it's read by the load.
-loop-predication,Loop predication,LoopPredicationPass,Scalar/LoopPredication.cpp,loop,,高速化: あり（deopt/guard前提）。反復ごとに変わる範囲チェック等のguard条件をループ全体で成り立つ形に“widen”してループ不変化し、後続のloop-unswitch等で分岐/guardを外に出しやすくする。段階: 中（guard/ループ情報が揃った後、unswitchの前）。,"The LoopPredication pass tries to convert loop variant range checks to loop invariant by widening checks across loop iterations. For example, it will convert   for (i = 0; i < n; i++) {     guard(i < len);     ...   } to   for (i = 0; i < n; i++) {     guard(n - 1 < len);     ...   } After this transformation the condition of the guard is loop invariant, so loop-unswitch can later unswitch the loop by this condition which basically predicates the loop by the widened condition:   if (n - 1 < len)     for (i = 0; i < n; i++) {       ...     }   else     deoptimize It's tempting to rely on SCEV here, but it has proven to be problematic. Generally the facts SCEV provides about the increment step of add recurrences are true if the backedge of the loop is taken, which implicitly assumes that the guard doesn't fail. Using these facts to optimize the guard results in a circular logic where the guard is optimized under the assumption that it never fails. For example, in the loop below the induction variable will be marked as nuw basing on the guard. Basing on nuw the guard predicate will be considered monotonic. Given a monotonic condition it's tempting to replace the induction variable in the condition with its value on the last iteration. But this transformation is not correct, e.g. e = 4, b = 5 breaks the loop.   for (int i = b; i != e; i++)     guard(i u< len) One of the ways to reason about this problem is to use an inductive proof approach. Given the loop:   if (B(0)) {     do {       I = PHI(0, I.INC)       I.INC = I + Step       guard(G(I));     } while (B(I));   } where B(x) and G(x) are predicates that map integers to booleans, we want a loop invariant expression M such the following program has the same semantics as the above:   if (B(0)) {     do {       I = PHI(0, I.INC)       I.INC = I + Step       guard(G(0) && M);     } while (B(I));   } One solution for M is M = forall X . (G(X) && B(X)) => G(X + Step) Informal proof that the transformation above is correct:   By the definition of guards we can rewrite the guard condition to:     G(I) && G(0) && M   Let's prove that for each iteration of the loop:     G(0) && M => G(I)   And the condition above can be simplified to G(Start) && M.   Induction base.     G(0) && M => G(0)   Induction step. Assuming G(0) && M => G(I) on the subsequent   iteration:     B(I) is true because it's the backedge condition.     G(I) is true because the backedge is guarded by this condition.   So M = forall X . (G(X) && B(X)) => G(X + Step) implies G(I + Step). Note that we can use anything stronger than M, i.e. any condition which implies M. When S = 1 (i.e. forward iterating loop), the transformation is supported when:   * The loop has a single latch with the condition of the form:     B(X) = latchStart + X <pred> latchLimit,     where <pred> is u<, u<=, s<, or s<=.   * The guard condition is of the form     G(X) = guardStart + X u< guardLimit   For the ult latch comparison case M is:     forall X . guardStart + X u< guardLimit && latchStart + X <u latchLimit =>        guardStart + X + 1 u< guardLimit   The only way the antecedent can be true and the consequent can be false is   if     X == guardLimit - 1 - guardStart   (and guardLimit is non-zero, but we won't use this latter fact).   If X == guardLimit - 1 - guardStart then the second half of the antecedent is     latchStart + guardLimit - 1 - guardStart u< latchLimit   and its negation is     latchStart + guardLimit - 1 - guardStart u>= latchLimit   In other words, if     latchLimit u<= latchStart + guardLimit - 1 - guardStart   then:   (the ranges below are written in ConstantRange notation, where [A, B) is the   set for (I = A; I != B; I++ /*maywrap*/) yield(I);)      forall X . guardStart + X u< guardLimit &&                 latchStart + X u< latchLimit =>        guardStart + X + 1 u< guardLimit   == forall X . guardStart + X u< guardLimit &&                 latchStart + X u< latchStart + guardLimit - 1 - guardStart =>        guardStart + X + 1 u< guardLimit   == forall X . (guardStart + X) in [0, guardLimit) &&                 (latchStart + X) in [0, latchStart + guardLimit - 1 - guardStart) =>        (guardStart + X + 1) in [0, guardLimit)   == forall X . X in [-guardStart, guardLimit - guardStart) &&                 X in [-latchStart, guardLimit - 1 - guardStart) =>         X in [-guardStart - 1, guardLimit - guardStart - 1)   == true   So the widened condition is:     guardStart u< guardLimit &&     latchStart + guardLimit - 1 - guardStart u>= latchLimit   Similarly for ule condition the widened condition is:     guardStart u< guardLimit &&     latchStart + guardLimit - 1 - guardStart u> latchLimit   For slt condition the widened condition is:     guardStart u< guardLimit &&     latchStart + guardLimit - 1 - guardStart s>= latchLimit   For sle condition the widened condition is:     guardStart u< guardLimit &&     latchStart + guardLimit - 1 - guardStart s> latchLimit When S = -1 (i.e. reverse iterating loop), the transformation is supported when:   * The loop has a single latch with the condition of the form:     B(X) = X <pred> latchLimit, where <pred> is u>, u>=, s>, or s>=.   * The guard condition is of the form     G(X) = X - 1 u< guardLimit   For the ugt latch comparison case M is:     forall X. X-1 u< guardLimit and X u> latchLimit => X-2 u< guardLimit   The only way the antecedent can be true and the consequent can be false is if     X == 1.   If X == 1 then the second half of the antecedent is     1 u> latchLimit, and its negation is latchLimit u>= 1.   So the widened condition is:     guardStart u< guardLimit && latchLimit u>= 1.   Similarly for sgt condition the widened condition is:     guardStart u< guardLimit && latchLimit s>= 1.   For uge condition the widened condition is:     guardStart u< guardLimit && latchLimit u> 1.   For sge condition the widened condition is:     guardStart u< guardLimit && latchLimit s> 1."
-loop-reduce,Loop Strength Reduction,LoopStrengthReducePass,Scalar/LoopStrengthReduce.cpp,loop,,高速化: あり。SCEV等で帰納変数由来の式を解析し、乗算等を加算・スケール付きアドレッシング等に置き換えるstrength reductionでループ内計算を軽量化する。段階: 中（ループ形が整った後の主要ループ最適化）。,"This transformation analyzes and transforms the induction variables (and computations derived from them) into forms suitable for efficient execution on the target. This pass performs a strength reduction on array references inside loops that have as one or more of their components the loop induction variable, it rewrites expressions to take advantage of scaled-index addressing modes available on the target, and it performs a variety of other optimizations related to loop induction variables. Terminology note: this code has a lot of handling for ""post-increment"" or ""post-inc"" users. This is not talking about post-increment addressing modes; it is instead talking about code like this:   %i = phi [ 0, %entry ], [ %i.next, %latch ]   ...   %i.next = add %i, 1   %c = icmp eq %i.next, %n The SCEV for %i is {0,+,1}<%L>. The SCEV for %i.next is {1,+,1}<%L>, however it's useful to think about these as the same register, with some uses using the value of the register before the add and some using it after. In this example, the icmp is a post-increment user, since it uses %i.next, which is the value of the induction variable after the increment. The other common case of post-increment users is users outside the loop."
-loop-reroll,Reroll loops,,,unknown,,単純なループに戻す?見つからず,
-loop-rotate,Rotate Loops,LoopRotatePass,Scalar/LoopRotation.cpp,loop,,高速化: 間接的（ループ最適化の前提）/ サイズ: 間接的。ループを回転してヘッダ/ラッチ形を整え、preheader等を活用しやすい形にして後続のLICM・unswitch・unroll等を効かせやすくする。段階: 前（ループ正規化として早め）。,This file implements Loop Rotation Pass.
-loop-simplify,Canonicalize natural loops,LoopSimplifyPass,Utils/LoopSimplify.cpp,function,FunctionToLoopPassAdaptorで呼ばれている,高速化/サイズ: 間接的（必須の正規化）。自然ループを簡単な正規形に変換し、preheader挿入・exit block整形・単一backedge化などでLICM等の前提を満たす。段階: 前（ループ最適化の土台）。,"This pass performs several transformations to transform natural loops into a simpler form, which makes subsequent analyses and transformations simpler and more effective. Loop pre-header insertion guarantees that there is a single, non-critical entry edge from outside of the loop to the loop header.  This simplifies a number of analyses and transformations, such as LICM. Loop exit-block insertion guarantees that all exit blocks from the loop (blocks which are outside of the loop that have predecessors inside of the loop) only have predecessors from inside of the loop (and are thus dominated by the loop header).  This simplifies transformations such as store-sinking that are built into LICM. This pass also guarantees that loops will have exactly one backedge. Indirectbr instructions introduce several complications. If the loop contains or is entered by an indirectbr instruction, it may not be possible to transform the loop and make these guarantees. Client code should check that these conditions are true before relying on them. Note that the simplifycfg pass will clean up blocks which are split out but end up being unnecessary, so usage of this pass should not pessimize generated code. This pass obviously modifies the CFG, but updates loop information and dominator information."
-loop-simplifycfg,Simplify loop CFG,LoopSimplifyCFGPass,Scalar/LoopSimplifyCFG.cpp,loop,,高速化/サイズ縮小: 間接的（基盤整備）。ループ周辺のCFGを簡約（不要ブロック削除・分岐整理等）して非正規な構造を直し、他のループパスが効きやすい形にする。段階: 前（ループパイプラインの入口側の掃除）。,"This file implements the Loop SimplifyCFG Pass. This pass is responsible for basic loop CFG cleanup, primarily to assist other loop passes. If you encounter a noncanonical CFG construct that causes another loop pass to perform suboptimally, this is the place to fix it up."
-loop-sink,Loop Sink,LoopSinkPass,Scalar/LoopSink.cpp,function,,高速化: あり（プロファイル依存）/ サイズ: 状況依存。ブロック頻度を使って、ループ外（preheader）にあるループ不変計算を、実際に必要となるループ内のより低頻度な場所へ沈め、期待実行回数を減らす（LICMの逆方向）。段階: 後（プロファイル情報が使え、主要ループ変換後の最終調整）。,"A pass that does profile-guided sinking of instructions into loops. This is a function pass as it shouldn't be composed into any kind of unified loop pass pipeline. The goal of it is to sink code into loops that is loop invariant but only required within the loop body when doing so reduces the global expected dynamic frequency with which it executes. A classic example is an extremely cold branch within a loop body. We do this as a separate pass so that during normal optimization all invariant operations can be held outside the loop body to simplify fundamental analyses and transforms of the loop. This pass does the inverse transformation of what LICM does. It traverses all of the instructions in the loop's preheader and sinks them to the loop body where frequency is lower than the loop's preheader. This pass is a reverse-transformation of LICM. It differs from the Sink pass in the following ways: * It only handles sinking of instructions from the loop's preheader to the   loop's body * It uses alias set tracker to get more accurate alias info * It uses block frequency info to find the optimal sinking locations Overall algorithm: For I in Preheader:   InsertBBs = BBs that uses I   For BB in sorted(LoopBBs):     DomBBs = BBs in InsertBBs that are dominated by BB     if freq(DomBBs) > freq(BB)       InsertBBs = UseBBs - DomBBs + BB   For BB in InsertBBs:     Insert I at BB's beginning
"
-loop-unroll,Unroll loops,LoopUnrollPass,Scalar/LoopUnrollPass.cpp,function,,高速化: あり（サイズは増えやすい）。ループを展開して分岐/カウンタ更新等のオーバーヘッドを減らし、ILPや定数化の機会を増やす（-indvars後が特に有効）。段階: 中（indvars等でtrip count推定がしやすくなった後の主要変換）。,"This pass implements a simple loop unroller.  It works best when loops have been canonicalized by the -indvars pass, allowing it to determine the trip counts of loops easily. "
-loop-unroll-and-jam,Unroll and Jam loops,LoopUnrollAndJamPass,Scalar/LoopUnrollAndJamPass.cpp,loop-nest,,高速化: あり（主にネストループ）/ サイズ: 増えやすい。外側ループをアンロールし、内側ループ本体を“jam”（融合）してILPやデータ再利用を増やす。段階: 中（ループ正規化後、vectorize等と並ぶ中盤の変換）。,"This file implements loop unroll and jam as a routine, much like LoopUnroll.cpp implements loop unroll."
-loop-unswitch,Unswitch loops,,,unknown,,SimpleLoopUnswitchならある,
-loop-vectorize,Loop Vectorization,LoopVectorizePass,Vectorize/LoopVectorize.cpp,function,,高速化: あり（SIMD）/ サイズ: 状況依存。ループ反復をSIMD幅でまとめるベクトル化を行い、TTIでコストと有益性を評価して最適なベクトル幅を選ぶ（合法性判定と変換を含む）。段階: 中（ループ正規化・依存解析後、主要ループ最適化の中盤）。,"This is the LLVM loop vectorizer. This pass modifies 'vectorizable' loops and generates target-independent LLVM-IR. The vectorizer uses the TargetTransformInfo analysis to estimate the costs of instructions in order to estimate the profitability of vectorization. The loop vectorizer combines consecutive loop iterations into a single 'wide' iteration. After this transformation the index is incremented by the SIMD vector width, and not by one. This pass has four parts: 1. The main loop pass that drives the different parts. 2. LoopVectorizationLegality - A unit that checks for the legality    of the vectorization. 3. InnerLoopVectorizer - A unit that performs the actual    widening of instructions. 4. LoopVectorizationCostModel - A unit that checks for the profitability    of vectorization. It decides on the optimal vector width, which    can be one, if vectorization is not profitable. There is a development effort going on to migrate loop vectorizer to the VPlan infrastructure and to introduce outer loop vectorization support (see docs/VectorizationPlan.rst and http://lists.llvm.org/pipermail/llvm-dev/2017-December/119523.html). For this purpose, we temporarily introduced the VPlan-native vectorization path: an alternative vectorization path that is natively implemented on top of the VPlan infrastructure. See EnableVPlanNativePath for enabling."
-loop-versioning,Loop Versioning,LoopVersioningPass,Utils/LoopVersioning.cpp,function,,高速化: あり。may-alias等の不確実性をランタイムチェックで解消し、重なりなしを投機した高速版ループを用意して最適化（vectorize/LICM等）を強めるためのループversioningユーティリティ。段階: 中（ループ最適化中盤、変換を強めたい箇所で）。,This file defines a utility class to perform loop versioning.  The versioned loop speculates that otherwise may-aliasing memory accesses don't overlap and emits checks to prove this.
-loop-versioning-licm,Loop Versioning For LICM,LoopVersioningLICMPass,Scalar/LoopVersioningLICM.cpp,loop,,高速化: あり。AAがMayAliasでLICMできない場合に、ランタイムのaliasチェックを挿入して“no-alias前提の高速版ループ”と保守版ループに分岐し、LICM相当の改善を可能にする。段階: 中（LICM前後、ループ最適化中盤）。,"When alias analysis is uncertain about the aliasing between any two accesses, it will return MayAlias. This uncertainty from alias analysis restricts LICM from proceeding further. In cases where alias analysis is uncertain we might use loop versioning as an alternative. Loop Versioning will create a version of the loop with aggressive aliasing assumptions in addition to the original with conservative (default) aliasing assumptions. The version of the loop making aggressive aliasing assumptions will have all the memory accesses marked as no-alias. These two versions of loop will be preceded by a memory runtime check. This runtime check consists of bound checks for all unique memory accessed in loop, and it ensures the lack of memory aliasing. The result of the runtime check determines which of the loop versions is executed: If the runtime check detects any memory aliasing, then the original loop is executed. Otherwise, the version with aggressive aliasing assumptions is used. Following are the top level steps: a) Perform LoopVersioningLICM's feasibility check. b) If loop is a candidate for versioning then create a memory bound check,    by considering all the memory accesses in loop body. c) Clone original loop and set all memory accesses as no-alias in new loop. d) Set original loop & versioned loop as a branch target of the runtime check    result."
-lower-constant-intrinsics,Lower constant intrinsics,LowerConstantIntrinsicsPass,Scalar/LowerConstantIntrinsics.cpp,function,,高速化/サイズ縮小: あり。objectsize/is.constant等の残存intrinsicを低レベル形にlowerし、定数伝搬とCFG簡約で結果を整理して後続最適化を進めやすくする。段階: 中（intrinsicを通常IRに落としたいタイミング）。,This pass lowers all remaining 'objectsize' 'is.constant' intrinsic calls and provides constant propagation and basic CFG cleanup on the result.
-lower-expect,Lower ‘expect’ Intrinsics,LowerExpectIntrinsicPass,Scalar/LowerExpectIntrinsic.cpp,function,,高速化: 間接的にあり。llvm.expect（分岐予測ヒント）をメタデータ等へlowerし、ブロック配置や分岐最適化の判断材料として使える形にする。段階: 前（ヒントを早めに反映して後続最適化に活かす）。,This pass lowers the 'expect' intrinsic to LLVM metadata.
-lower-guard-intrinsic,Lower the guard intrinsic to normal control flow,LowerGuardIntrinsicPass,Scalar/LowerGuardIntrinsic.cpp,function,,高速化: 間接的（guard最適化の終端）。llvm.experimental.guardを通常の制御フロー（条件付きdeopt呼び出し等）にlowerし、以後guard-widening等ができない最終形にする。段階: 後（guard最適化をやり切った後のlower）。,"This pass lowers the llvm.experimental.guard intrinsic to a conditional call to @llvm.experimental.deoptimize.  Once this happens, the guard can no longer be widened."
-lower-matrix-intrinsics,Lower the matrix intrinsics,LowerMatrixIntrinsicsPass,Scalar/LowerMatrixIntrinsics.cpp,function,,高速化/サイズ: 間接的。行列intrinsicをベクトル演算へ展開し、通常の最適化/ベクトル化・コード生成が扱える形に落とす。段階: 中（行列intrinsicを消して最適化に回したい段階）。,This pass lowers matrix intrinsics down to vector operations.
-lower-widenable-condition,Lower the widenable condition to default true value,LowerWidenableConditionPass,Scalar/LowerWidenableCondition.cpp,function,,高速化: 間接的（仕掛けの消し込み）。llvm.widenable.conditionを既定trueへlowerして特殊条件intrinsicを除去し、通常IRに正規化する。段階: 後（最終的に特殊intrinsicを消す工程）。,This pass lowers the llvm.widenable.condition intrinsic to default value which is i1 true.
